"Group","Shannon"
"Dry season","4.5901344147769"
"Dry season","4.54742114968666"
"Dry season","4.67117192554682"
"Dry season","4.65774289755056"
"Dry season","4.67869816360006"
"Dry season","4.73551480923881"
"Dry season","4.57988617444366"
"Dry season","4.60380801921343"
"Dry season","4.60172224666318"
"Dry season","4.74944392952778"
"Dry season","4.63010899823808"
"Dry season","4.66789710750368"
"Dry season","4.60378379921753"
"Dry season","4.62831211738326"
"Dry season","4.65655485073057"
"Dry season","4.62784929795707"
"Dry season","4.69819318130634"
"Dry season","4.71171827405387"
"Dry season","4.67401434757178"
"Dry season","4.90279511499123"
"Dry season","4.58849682725782"
"Dry season","4.50248271517696"
"Dry season","4.57629216379322"
"Dry season","4.62266385988788"
"Wet season","3.01483796301217"
"Wet season","2.96354622085296"
"Wet season","3.01785894097073"
"Wet season","3.03743140161659"
"Wet season","2.99834722062"
"Wet season","2.93579406887848"
"Wet season","2.96068297156311"
"Wet season","3.0124049749392"
"Wet season","3.02768574983888"
"Wet season","3.07596451443574"
"Wet season","2.98836560153852"
"Wet season","3.02846524368928"
"Wet season","3.01792057035525"
"Wet season","3.02612712915429"
"Wet season","3.0174956493568"
"Wet season","3.02592642386907"
"Wet season","3.00830180938889"
"Wet season","3.02879590910276"
"Wet season","3.04303014442576"
"Wet season","2.99377325252419"
"Wet season","3.00725809449221"
"Wet season","3.0228226806397"
"Wet season","3.00424068750502"
"Wet season","2.98692575603822"
